"","CT1-CT1","CT1-CT2","CT1-CT3","CT1-CT4","CT1-CT5","CT2-CT1","CT2-CT2","CT2-CT3","CT2-CT4","CT2-CT5","CT3-CT1","CT3-CT2","CT3-CT3","CT3-CT4","CT3-CT5","CT4-CT1","CT4-CT2","CT4-CT3","CT4-CT4","CT4-CT5","CT5-CT1","CT5-CT2","CT5-CT3","CT5-CT4","CT5-CT5"
"gene101-gene2",0.976,0.976,1,0.676,0.484,1,0.976,1,0.108,0.976,0.12,0.976,0.212,0.568,0.4336,0.776,0.268,0.976,0.232,0.862,0.532,1,0.2,0.576,0.004
"gene102-gene6",0.2368,0.976,0.928,1,0.832,1,0.748,1,0.2176,0.112,1,0.0880000000000001,0.212,0.928,0.4336,0.256,0.268,0.028,1,0.232,0.624,0.408,0.2,0.16,0.004
"gene103-gene10",0.012,0.922,0.0640000000000001,0.628,0.3904,0.6,0.304,0.544,0.598,0.1504,0.328,0.964,0.212,0.568,0.4336,0.988,0.268,0.028,0.016,1,0.244,0.408,0.2,0.4144,0.004
"gene104-gene19",0.2368,0.348,0.3664,0.176,0.3904,0.204,0.304,0.18,0.598,0.712,0.184,0.0880000000000001,0.736,0.568,0.356,0.256,0.268,0.46,0.334,0.6256,0.624,0.504,0.2,0.4144,0.004
"gene105-gene80",0.2368,0.5392,0.3664,0.664,0.344,0.2896,0.292,0.4336,0.598,0.1504,1,0.0680000000000001,0.212,0.568,0.4336,1,0.268,0.028,0.64,0.864,0.624,0.504,0.2,0.712,0.496
"gene99-gene91",0.2368,0.96,0.616,0.4,0.3904,0.2896,0.304,0.4336,0.808,0.1504,0.12,0.36,0.304,0.676,0.4336,0.256,0.268,0.288,0.64,1,0.4144,0.408,0.2,0.736,0.004
