,CT1-CT1,CT1-CT2,CT1-CT3,CT1-CT4,CT1-CT5,CT2-CT1,CT2-CT2,CT2-CT3,CT2-CT4,CT2-CT5,CT3-CT1,CT3-CT2,CT3-CT3,CT3-CT4,CT3-CT5,CT4-CT1,CT4-CT2,CT4-CT3,CT4-CT4,CT4-CT5,CT5-CT1,CT5-CT2,CT5-CT3,CT5-CT4,CT5-CT5
gene101-gene2,0.002066748114578198,8.256234220033104e-06,6.820160353023641e-05,0.005970234317059835,0.004295841280031169,0.028329624875465205,0.00015741263707899213,0.0007517233208999103,0.0829852993316222,0.06357583112103046,0.012984891954833032,5.6351937912723855e-05,0.00044002185998068,0.037319906312960005,0.028631564521511638,0.00025295453138806057,7.412503067855884e-07,1.3244914582394017e-05,0.0007978526377340327,0.00045379980139062065,9.28296718067669e-06,7.419143993559797e-08,6.751448837136982e-08,3.28091362612498e-05,2.6530322452119024e-05
gene102-gene6,0.0011459490262920684,0.0018209314424004889,0.0014475121254328418,0.0004657723725020045,0.0002859312348533077,0.024489162076499798,0.04239569904915695,0.03059004962577986,0.00959984972488124,0.006316612239592234,0.014279114491171578,0.02220525973071662,0.019414876829183213,0.005481232710495487,0.003664377956812422,0.0,0.0,0.0,0.0,0.0,3.717488206766257e-05,5.271131424076875e-05,4.476649089166717e-05,1.3237448393912409e-05,1.1025541756413834e-05
gene103-gene10,0.0015462077711095265,0.002760551492469831,0.004111787145626551,0.00036540932326341275,0.0,0.0006009922388850213,0.0012033458182357695,0.0017233061836935042,0.00013215683595216315,0.0,0.0008285420548310051,0.0015071837589320655,0.0026686893224893812,0.00020483631746084888,0.0,0.009166129021044356,0.01647212107981209,0.025563875670232175,0.002657717427556157,0.0,0.024448936553389908,0.04655909738067357,0.07024497399297147,0.006178078909593287,0.0
gene104-gene19,0.012720317131786129,0.009528325720157793,0.007944913150924214,0.017059930172820127,0.018826825051121387,0.010795585738184434,0.010285247577995118,0.007268352410029352,0.015502357383616694,0.017592789295892974,0.011014915523062179,0.00862005997400973,0.007885080779856599,0.015325700084127371,0.017715049339825484,0.012193536763618179,0.009585349720238452,0.007983437491717253,0.01851505802722115,0.01917243180619691,0.010006749166027942,0.008751191669534893,0.00694561978977827,0.015102987919838634,0.0195160270037535
gene105-gene80,0.0018819777139058977,0.0002940706299941394,0.0004072436471801842,0.021962010855469696,0.03735600253032075,0.0006648671437478221,0.00011800462975267746,0.00016085662534668074,0.00844377779237648,0.01482908058891664,0.0006008624896632858,0.00010634804411431454,0.00013970019595694764,0.007295233486725904,0.01268374119496126,0.00031856696965143624,4.6819370220193986e-05,6.34448378737606e-05,0.003805949228019878,0.00622563483903272,1.8102599759294807e-05,5.109610634245754e-06,4.5455338052112725e-06,0.0002906001988597045,0.0004707256659323199
gene99-gene91,0.0008027408124748948,0.0014292591650501003,0.0011802627025803347,0.000798333873928546,0.0007083478271904582,0.0014459872111389196,0.0032019499373800897,0.0023970230049028016,0.0014064869562032446,0.0013112140362391868,0.0013654117902191084,0.0026832512493886384,0.0024883091954627117,0.0014408437020205513,0.001308239150447638,0.0016959795124200938,0.0031970770804115567,0.002755400676314284,0.0020370089919131383,0.0016414173886751626,0.0005030985486570025,0.0012610473584249325,0.001040053004000294,0.0005864749862805846,0.0006943798115973146
