pop,depth,cell.type,cell.type.idx,batch
5_2,1.65075376884422,5_2,2,2
5_2,1.64824120603015,5_2,2,2
5_2,1.64572864321608,5_2,2,2
5_2,1.64321608040201,5_2,2,2
5_3,1.64070351758794,5_3,3,2
5_3,1.63819095477387,5_3,3,2
5_3,1.63065326633166,5_3,3,2
5_2,1.60050251256281,5_2,2,2
4_1,1.59849435382685,4_1_2,5,2
4_1,1.59598494353827,4_1_2,5,2
5_3,1.58793969849246,5_3,3,2
5_2,1.58040201005025,5_2,2,2
4_1,1.58092848180678,4_1_2,5,2
4_1,1.57590966122961,4_1_2,5,2
4_1,1.55834378920954,4_1_2,5,2
5_3,1.55276381909548,5_3,3,2
4_1,1.55332496863237,4_1_2,5,2
5_2,1.54020100502513,5_2,2,2
5_3,1.52763819095477,5_3,3,2
5_2,1.50753768844221,5_2,2,2
4_1,1.49811794228356,4_1_2,5,2
5_3,1.49246231155779,5_3,3,2
4_1,1.4930991217064,4_1_2,5,2
4_1,1.48808030112923,4_1_2,5,2
5_3,1.47738693467337,5_3,3,2
5_3,1.46984924623116,5_3,3,2
5_2,1.45226130653266,5_2,2,2
4_1,1.45294855708908,4_1_2,5,2
5_3,1.44723618090452,5_3,3,2
5_2,1.43969849246231,5_2,2,2
5_2,1.43467336683417,5_2,2,2
4_1,1.42785445420326,4_1_2,5,2
4_1,1.42534504391468,4_1_2,5,2
5_2,1.41457286432161,5_2,2,2
5_2,1.41206030150754,5_2,2,2
4_1,1.41279799247177,4_1_2,5,2
4_1,1.41028858218319,4_1_2,5,2
5_3,1.37939698492462,5_3,3,2
5_2,1.37437185929648,5_2,2,2
5_3,1.37185929648241,5_3,3,2
5_3,1.36180904522613,5_3,3,2
5_3,1.35175879396985,5_3,3,2
5_3,1.34422110552764,5_3,3,2
4_1,1.34504391468005,4_1_2,5,2
5_2,1.3391959798995,5_2,2,2
5_2,1.31909547738693,5_2,2,2
5_3,1.31658291457286,5_3,3,2
5_3,1.31407035175879,5_3,3,2
5_3,1.30653266331658,5_3,3,2
5_2,1.30402010050251,5_2,2,2
5_3,1.2964824120603,5_3,3,2
5_2,1.28894472361809,5_2,2,2
5_2,1.28391959798995,5_2,2,2
4_1,1.28481806775408,4_1_2,5,2
5_3,1.27638190954774,5_3,3,2
4_1,1.27478042659975,4_1_2,5,2
5_3,1.25125628140704,5_3,3,2
4_1,1.24968632371393,4_1_2,5,2
5_3,1.23869346733668,5_3,3,2
5_3,1.22613065326633,5_3,3,2
5_2,1.22361809045226,5_2,2,2
5_3,1.21356783919598,5_3,3,2
5_3,1.20603015075377,5_3,3,2
5_2,1.20100502512563,5_2,2,2
5_3,1.19597989949749,5_3,3,2
5_2,1.19346733668342,5_2,2,2
5_2,1.18592964824121,5_2,2,2
5_2,1.17839195979899,5_2,2,2
5_3,1.17587939698492,5_3,3,2
4_1,1.17189460476788,4_1_2,5,2
4_1,1.16687578419072,4_1_2,5,2
5_3,1.15075376884422,5_3,3,2
5_2,1.14572864321608,5_2,2,2
5_2,1.1356783919598,5_2,2,2
5_2,1.11557788944724,5_2,2,2
5_2,1.10301507537688,5_2,2,2
5_2,1.09798994974874,5_2,2,2
4_1,1.09661229611041,4_1_2,5,2
5_2,1.07788944723618,5_2,2,2
4_1,1.06900878293601,4_1_2,5,2
4_1,1.0564617314931,4_1_2,5,2
5_3,1.02763819095477,5_3,3,2
5_3,1.01256281407035,5_3,3,2
5_3,1.01005025125628,5_3,3,2
5_2,1.00502512562814,5_2,2,2
4_1,1.00125470514429,4_1_2,5,2
4_5,0.994974874371859,4_5,1,2
4_1,0.991217063989962,4_1_1,4,2
4_5,0.987437185929648,4_5,1,2
4_1,0.978670012547051,4_1_1,4,2
4_1,0.976160602258469,4_1_1,4,2
4_5,0.967336683417085,4_5,1,2
4_5,0.942211055276382,4_5,1,2
4_1,0.928481806775408,4_1_1,4,2
4_1,0.918444165621079,4_1_1,4,2
4_5,0.909547738693467,4_5,1,2
4_5,0.876884422110553,4_5,1,2
4_1,0.865746549560853,4_1_1,4,2
4_5,0.864321608040201,4_5,1,2
4_5,0.85929648241206,4_5,1,2
4_5,0.849246231155779,4_5,1,2
4_5,0.846733668341709,4_5,1,2
4_5,0.839195979899497,4_5,1,2
4_1,0.835633626097867,4_1_1,4,2
4_1,0.82810539523212,4_1_1,4,2
4_5,0.819095477386935,4_5,1,2
4_5,0.816582914572864,4_5,1,2
4_5,0.806532663316583,4_5,1,2
4_5,0.804020100502513,4_5,1,2
4_1,0.800501882057716,4_1_1,4,2
4_5,0.798994974874372,4_5,1,2
4_5,0.793969849246231,4_5,1,2
4_5,0.791457286432161,4_5,1,2
4_5,0.781407035175879,4_5,1,2
4_5,0.773869346733668,4_5,1,2
4_1,0.77038895859473,4_1_1,4,2
4_5,0.768844221105528,4_5,1,2
4_5,0.766331658291457,4_5,1,2
4_1,0.762860727728984,4_1_1,4,2
4_5,0.753768844221106,4_5,1,2
4_5,0.751256281407035,4_5,1,2
4_5,0.746231155778894,4_5,1,2
4_1,0.742785445420326,4_1_1,4,2
4_1,0.740276035131744,4_1_1,4,2
4_1,0.730238393977415,4_1_1,4,2
4_1,0.722710163111669,4_1_1,4,2
4_5,0.71608040201005,4_5,1,2
4_5,0.708542713567839,4_5,1,2
4_5,0.706030150753769,4_5,1,2
4_1,0.700125470514429,4_1_1,4,2
4_5,0.693467336683417,4_5,1,2
4_5,0.678391959798995,4_5,1,2
4_1,0.675031367628607,4_1_1,4,2
4_5,0.673366834170854,4_5,1,2
4_5,0.670854271356784,4_5,1,2
4_1,0.662484316185696,4_1_1,4,2
4_5,0.655778894472362,4_5,1,2
4_5,0.650753768844221,4_5,1,2
4_5,0.648241206030151,4_5,1,2
4_1,0.634880803011292,4_1_1,4,2
4_5,0.630653266331658,4_5,1,2
4_5,0.628140703517588,4_5,1,2
4_5,0.615577889447236,4_5,1,2
4_5,0.610552763819096,4_5,1,2
4_5,0.600502512562814,4_5,1,2
4_1,0.594730238393977,4_1_1,4,2
4_5,0.590452261306533,4_5,1,2
4_5,0.585427135678392,4_5,1,2
4_1,0.582183186951066,4_1_1,4,2
4_5,0.575376884422111,4_5,1,2
4_5,0.57286432160804,4_5,1,2
4_5,0.562814070351759,4_5,1,2
4_5,0.542713567839196,4_5,1,2
4_5,0.540201005025126,4_5,1,2
4_5,0.535175879396985,4_5,1,2
4_5,0.532663316582915,4_5,1,2
4_5,0.527638190954774,4_5,1,2
4_5,0.520100502512563,4_5,1,2
4_5,0.50251256281407,4_5,1,2
4_1,0.499372647427854,4_1_1,4,2
4_1,0.496863237139272,4_1_1,4,2
4_5,0.479899497487437,4_5,1,2
4_5,0.474874371859296,4_5,1,2
4_1,0.45922208281054,4_1_1,4,2
4_5,0.457286432160804,4_5,1,2
4_1,0.449184441656211,4_1_1,4,2
4_1,0.444165621079046,4_1_1,4,2
4_5,0.442211055276382,4_5,1,2
4_5,0.439698492462312,4_5,1,2
4_5,0.437185929648241,4_5,1,2
4_5,0.42964824120603,4_5,1,2
4_5,0.424623115577889,4_5,1,2
4_5,0.419597989949749,4_5,1,2
4_1,0.409033877038896,4_1_1,4,2
4_1,0.401505646173149,4_1_1,4,2
4_1,0.388958594730238,4_1_1,4,2
4_5,0.386934673366834,4_5,1,2
4_5,0.379396984924623,4_5,1,2
4_5,0.376884422110553,4_5,1,2
4_1,0.35633626097867,4_1_1,4,2
4_1,0.328732747804266,4_1_1,4,2
4_5,0.314070351758794,4_5,1,2
4_1,0.291091593475533,4_1_1,4,2
4_1,0.286072772898369,4_1_1,4,2
4_1,0.283563362609787,4_1_1,4,2
4_5,0.281407035175879,4_5,1,2
4_1,0.27603513174404,4_1_1,4,2
4_5,0.273869346733668,4_5,1,2
4_5,0.256281407035176,4_5,1,2
4_5,0.248743718592965,4_5,1,2
4_5,0.243718592964824,4_5,1,2
4_1,0.235884567126725,4_1_1,4,2
4_5,0.233668341708543,4_5,1,2
4_5,0.218592964824121,4_5,1,2
4_1,0.210790464240903,4_1_1,4,2
4_5,0.201005025125628,4_5,1,2
4_1,0.198243412797992,4_1_1,4,2
4_5,0.178391959798995,4_5,1,2
4_5,0.175879396984925,4_5,1,2
4_1,0.173149309912171,4_1_1,4,2
4_5,0.168341708542714,4_5,1,2
4_5,0.165829145728643,4_5,1,2
4_5,0.138190954773869,4_5,1,2
4_5,0.135678391959799,4_5,1,2
4_5,0.110552763819095,4_5,1,2
4_1,0.107904642409034,4_1_1,4,2
4_5,0.100502512562814,4_5,1,2
4_1,0.095357590966123,4_1_1,4,2
4_5,0.0829145728643216,4_5,1,2
4_5,0.0753768844221106,4_5,1,2
4_5,0.0628140703517588,4_5,1,2
4_1,0.055207026348808,4_1_1,4,2
4_5,0.0527638190954774,4_5,1,2
4_5,0.0351758793969849,4_5,1,2
4_5,0.0326633165829146,4_5,1,2
4_5,0.0251256281407035,4_5,1,2
4_1,0.0150564617314931,4_1_1,4,2
4_1,0.0100376411543287,4_1_1,4,2
