pop,depth,cell.type,cell.type.idx,batch
5_3,2,5_3,3,2
5_3,2,5_3,3,2
5_3,1.98241206030151,5_3,3,2
5_2,1.9748743718593,5_2,2,2
5_2,1.96482412060302,5_2,2,2
5_2,1.96231155778894,5_2,2,2
5_2,1.95477386934673,5_2,2,2
5_2,1.94974874371859,5_2,2,2
4_1,1.94981179422836,4_1_2,5,2
5_3,1.93969849246231,5_3,3,2
5_2,1.93718592964824,5_2,2,2
5_2,1.9321608040201,5_2,2,2
5_3,1.92462311557789,5_3,3,2
5_2,1.91708542713568,5_2,2,2
5_2,1.91457286432161,5_2,2,2
5_2,1.91206030150754,5_2,2,2
5_2,1.90452261306533,5_2,2,2
4_1,1.90464240903388,4_1_2,5,2
4_1,1.89209535759097,4_1_2,5,2
5_2,1.88693467336683,5_2,2,2
5_3,1.88442211055276,5_3,3,2
5_3,1.87939698492462,5_3,3,2
4_1,1.87954830614806,4_1_2,5,2
4_1,1.86700125470514,4_1_2,5,2
4_1,1.86449184441656,4_1_2,5,2
5_2,1.84673366834171,5_2,2,2
5_2,1.84170854271357,5_2,2,2
5_2,1.83417085427136,5_2,2,2
5_3,1.82412060301508,5_3,3,2
5_2,1.81407035175879,5_2,2,2
5_2,1.78894472361809,5_2,2,2
4_1,1.7892095357591,4_1_2,5,2
5_2,1.78140703517588,5_2,2,2
4_1,1.77164366373902,4_1_2,5,2
5_3,1.76381909547739,5_3,3,2
5_3,1.75628140703518,5_3,3,2
5_2,1.74623115577889,5_2,2,2
5_2,1.74371859296482,5_2,2,2
5_3,1.74120603015075,5_3,3,2
5_3,1.72361809045226,5_3,3,2
5_3,1.72110552763819,5_3,3,2
5_3,1.71859296482412,5_3,3,2
5_3,1.71105527638191,5_3,3,2
5_3,1.70100502512563,5_3,3,2
4_1,1.69636135508156,4_1_2,5,2
4_1,1.69385194479297,4_1_2,5,2
5_3,1.68341708542714,5_3,3,2
5_3,1.67336683417085,5_3,3,2
5_3,1.66582914572864,5_3,3,2
5_3,1.6608040201005,5_3,3,2
5_3,1.65829145728643,5_3,3,2
4_1,1.65621079046424,4_1_2,5,2
