,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
204,1280,0,0,1659,0,0,0,9299,916,123,68,30937,0,0,54,0,419,0,1076,17939,338,123,0,0,1981,928,124,4,404,0,1725,283,9487,1008,531,2366,759,73,2053,0,0,248,73,10628,134,140,72,54,474,532,1618,5497,0,5765,2223,80,36,370,1317,19115,8682,928,978,0,489,0,142,968,37,10,369,73,0,1263,12016,1243,0,5,0,0,287,428,51,0,58,18,18,9810,130,0,676,0,15,688,0,0,314,1404,0,74,0,0,0,12460,39,0,748,8880,1494,4831
205,0,133,0,30,421,4195,0,11443,85,83,0,11309,0,9,23,0,31,87,61,0,0,0,0,0,0,288,0,9,0,1072,44,0,33,9,562,51590,283,22,434,0,10,94,238,2584,1633,32,3,0,0,0,0,787,0,6540,1321,35,0,502,463,5781,282,84,621,0,0,0,117,31178,21,0,209,10,180,192,0,11628,0,20,2257,0,0,380,14,0,149,24,40,186477,60,0,41,0,0,77,0,0,0,421,0,468,78,0,0,0,173,0,380,18220,193,0
206,3,0,743,93,1417,0,0,1246,8560,226,41,323,40,0,231,55,486,0,973,13118,61,0,0,0,124,2210,74,58,67,0,24619,59,875,405,43,664,448,390,7,0,0,8295,50,1033,232,0,443,205,79,481,68,232,0,87,6230,77,78,879,494,49352,8700,19,0,0,2811,0,100,754,26,637,530,372,0,32,13078,363,28,1259,0,0,0,81,194,2,103,109,873,4978,0,102,7323,0,0,21849,44,0,0,476,0,314,0,0,0,0,989,0,207,44,227,4578
207,0,84,0,0,0,3507,0,5961,121,25,0,5137,0,0,16,0,267,74,0,0,0,0,0,0,58,153,0,1,19,2069,0,0,24,0,226,52467,148,25,0,0,0,0,0,667,1383,53,0,127,62,0,134,4818,0,2490,1336,42,0,1600,50,25274,350,285,73,0,18,0,189,14512,12,53,165,50,526,1199,567,8068,8,18,581,0,0,751,91,9,25,25,11,170137,32,8,47,91,0,37,0,0,0,526,0,107,169,0,0,457,21,0,0,93400,73,515
208,0,0,0,0,145,0,0,1649,289,23,320,7028,135,0,65,0,1630,57,6017,73300,2405,0,0,0,4881,973,0,59,1,0,21667,5498,6322,1988,164,915,114,6545,0,255,0,6584,6,237,3064,159,3504,39,1155,181,1088,1532,0,372,235,1325,113,616,538,3572,987,48,1146,0,439,0,37,244,35,335,17880,59,0,495,1185,726,2,0,23,654,28,190,172,164,1046,0,0,1165,37,0,2490,0,0,421,25,0,619,8764,10,708,92,0,0,1469,3584,0,0,0,990,1190
209,0,7,3069,48,1385,0,0,1171,247,186,0,1375,65,0,57,848,197,0,24926,93463,562,0,0,0,13452,1441,0,0,4,0,52905,5903,3161,1932,254,755,67,4863,362,0,0,1585,0,151,921,0,721,17,409,78,360,3749,4,32,131,1668,0,908,394,0,686,73,0,0,697,0,25,15,14,124,5986,44,0,0,1862,813,1,0,0,0,0,2529,212,157,1830,131,114,614,68,33,1284,0,0,529,20,302,0,5605,10,6064,70,0,143,632,11860,0,131,11,488,1353
210,0,28,0,0,2655,3074,0,5873,265,82,9,20115,42,0,18,0,692,0,617,25473,943,103,0,0,2192,0,0,0,205,0,2794,0,7911,1278,431,717,383,52,1319,889,0,823,0,0,20,0,1542,70,279,0,0,5617,0,0,6776,0,0,88,251,6793,5854,0,0,0,173,0,232,3060,0,186,554,161,0,1401,6505,530,0,0,1329,0,291,1014,131,41,46,13,0,3312,41,0,1598,0,3,124,0,0,136,1120,0,0,0,0,0,2499,45,0,1545,1233,5551,7663
211,0,0,0,363,9187,254,0,1007,11090,160,5,544,0,0,834,2429,1891,95,399,8659,0,0,0,0,0,15145,0,0,0,0,7013,0,196,486,211,0,711,3584,90,0,0,5602,0,3732,74,1001,950,165,0,2660,0,397,0,0,11900,172,1091,534,399,20006,9409,157,0,0,2578,85,0,0,0,550,2954,0,0,0,12227,103,38,0,0,62,3800,0,771,0,577,0,0,0,16,0,14686,0,12,28874,0,643,2754,1589,0,129,0,0,0,8234,1386,3416,474,101,48,6217
212,738,6,1445,0,226,0,0,539,6720,155,30,984,0,0,916,94,188,78,1311,28123,113,0,0,52,319,0,900,0,29,0,18891,103,707,278,110,935,87,424,4,594,0,0,64,359,412,191,2160,0,0,3991,87,12,0,95,6376,0,0,582,279,0,11693,0,2367,0,1109,0,30,1479,120,0,678,0,0,84,8726,128,0,114,0,35,0,0,915,2,43,67,1539,3951,0,0,10530,14,0,16754,0,0,520,270,0,21,0,0,0,955,894,614,0,0,131,3683
213,175,0,0,0,32,0,0,4070,732,402,80,6322,0,0,12,0,607,0,1933,13681,446,0,0,0,6249,186,0,19,374,0,2121,333,8589,1057,728,3439,435,107,820,1274,0,301,103,3687,167,67,1540,0,0,0,8612,0,0,0,411,128,0,660,1418,2153,6521,0,666,0,70,0,0,12345,72,160,191,0,81,0,16663,984,23,13,0,1065,0,0,73,0,88,0,0,10372,38,0,947,0,17,276,0,0,0,374,22,1406,0,0,0,2978,540,0,0,0,3045,3271
