"","CT1-CT1","CT1-CT2","CT1-CT3","CT1-CT4","CT1-CT5","CT2-CT1","CT2-CT2","CT2-CT3","CT2-CT4","CT2-CT5","CT3-CT1","CT3-CT2","CT3-CT3","CT3-CT4","CT3-CT5","CT4-CT1","CT4-CT2","CT4-CT3","CT4-CT4","CT4-CT5","CT5-CT1","CT5-CT2","CT5-CT3","CT5-CT4","CT5-CT5"
"gene101-gene2",0.6448,0.94,0.296,0.056,0.436,1,0.2368,0.6,0.49,0.556,0.784,0.612,0.844,0.0600000000000001,0.176,0.704,0.3664,0.204,0.0600000000000001,0.42,0.712,0.6112,0.04,0.2464,0.144
"gene102-gene6",0.712,0.9952,0.296,0.056,0.984,0.568,0.384,0.724,0.3904,0.076,0.5344,0.816,0.036,0.0600000000000001,0.104,0.24,0.388,0.204,0.0600000000000001,0.42,0.64,0.6112,0.58,0.382,0.144
"gene103-gene10",0.472,1,1,0.388,0.9328,0.324,0.052,0.856,1,0.1408,0.084,0.816,0.036,0.904,0.104,0.24,0.092,0.204,0.592,0.42,0.832,0.6112,0.896,1,0.144
"gene104-gene19",0.6448,1,1,0.056,1,1,0.384,1,0.384,0.304,1,0.976,0.036,0.0600000000000001,0.104,0.964,0.3664,0.652,0.652,1,0.988,1,1,1,0.144
"gene105-gene80",0.712,1,0.608,1,0.976,0.928,0.384,0.988,1,0.556,1,0.646,0.844,0.604,1,1,0.388,0.204,0.652,1,0.664,0.6112,0.904,0.176,0.144
"gene99-gene91",0.6448,0.9952,0.296,0.056,0.988,0.324,0.2368,0.6,0.49,0.304,0.694,0.612,0.036,0.0600000000000001,0.892,0.24,0.3664,0.736,0.0600000000000001,0.928,0.988,0.416,0.04,0.496,0.144
