UMAP_1,UMAP_2
-3.43979844841464,-1.86019788857164
3.93399276938932,2.85803474311171
3.51892414298551,2.95351184729872
-2.4929154852341,-3.69026385422411
4.05078830924527,2.6307102573329
-3.54961130413516,-2.94329534645738
3.73610820975797,2.58475459937392
-2.56794461998446,-2.63174329872789
-2.75582155975802,-2.72946058388414
4.0974964162399,2.06865085486708
-3.24923524651034,-2.38505302544298
3.19015064445035,1.5137144458705
-3.13138780388339,-2.82768283959093
-2.0570662954758,-1.54622923012437
-2.27719030174716,-3.27161561127367
-2.34832534584506,-2.19190918083849
-2.65077576431735,-2.28265129204454
-3.57901892456515,-2.49369369621935
4.12062111106412,1.74251140479384
3.8162635823776,1.43224395636854
3.80580368247525,1.93563426856337
-2.46419248375399,-3.48766766663255
3.78546562400357,1.66653884772597
-3.65640697273715,-1.90218959923448
-3.49925634655459,-2.3663338291234
3.726396944194,1.601971281808
-3.71178350243075,-1.82739196892442
-3.93007800373538,-1.61396251793565
-3.6107030847977,-2.01885496254625
-2.07932314667208,-1.53718267555895
-1.52584872040255,-3.77284608956041
3.80845966544645,2.12416805152235
-1.76264319214328,-1.3954857456273
-2.9021156767319,-3.1770290004796
-3.07842979225619,-1.66106544609728
-2.16616759094699,-1.2972100841588
-2.61730036530001,-3.55921946640672
-2.96271214279635,-3.2263077365941
-3.14347801002963,-1.65262876625719
-2.63122877869113,-3.60380374069872
-2.33223614487155,-3.40761481400194
-2.61424240860446,-2.43899332161607
3.33977165427701,1.55828727607069
-3.79008946213229,-1.26719080086412
-3.73814651760562,-0.610129224020859
-3.38678011688693,-0.991210805136582
-3.8046658972214,-1.96925340767564
-1.74101171287997,-1.21251188393297
3.14244690146939,1.69197238807021
3.43998661246793,1.93246425513563
-3.05058440956576,-1.98698459740343
-4.01025197300418,-1.64632927056017
-3.55497476849063,-0.820027219015977
-2.31742105278476,-2.83648525353136
-2.7564526537369,-1.29093347664537
3.07370701041715,2.46075405005751
-3.86389717850192,-0.858725415427109
-2.91199240478976,-2.08522878761949
-3.34768638405307,-0.584225999075791
-2.36988625320895,-1.966228352744
-3.133071515889,-0.49091421242418
